Accession,ID_x,Organism Name,planetary_analog,Environment,Geographic location,latitude,longitude,Assembly level,Sequencing platform,CheckM2 completeness(%)(NN_model),CheckM2 contamination(%),pass.GUNC,Number_of_contigs,Size (bp),GC (%),N50,GTDB_r220_classification
GCA_001303405.1,GCA_001303405.1_Nitrospira_bacterium_SG8_35_4,Nitrospira_bacterium_SG8_35_4,Mars_lake_analog,brackish,"USA: White Oak River Estuary, North Carolina",34.7414,-77.1234,Contig,Illumina,74.86,7.0,True,292,2692108,46.5,9622,d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__UBA6902;f__UBA6902;g__;s__
GCA_001511835.1,GCA_001511835.1_Magnetospirillum_sp._XM-1_XM1,Magnetospirillum_sp._XM-1_XM1,Mars_lake_analog,freshwater,China: Xi'an City moat,34.2527,108.9203,Complete Genome,-,100.0,0.21,True,2,4992477,65.67,4825187,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales;f__Magnetospirillaceae;g__Phaeospirillum;s__Phaeospirillum sp001511835
GCA_001541255.1,GCA_001541255.1_Candidatus_Magnetominusculus_xianensis_HCH-1,Candidatus_Magnetominusculus_xianensis_HCH-1,Mars_lake_analog,freshwater,"China: city moat, Xi'an",34.25287,108.92187,Contig,Illumina HiSeq,99.99,0.62,True,152,3593273,45.37,45767,d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__Magnetobacteriaceae;g__Magnetominusculus;s__Magnetominusculus xianensis
GCA_001650635.1,GCA_001650635.1_Magnetospirillum_moscoviense_BB-1,Magnetospirillum_moscoviense_BB-1,Mars_lake_analog,freshwater,Russia: Moskva River,55.792661,37.409944,Contig,Illumina HiSeq,100.0,0.11,True,207,4164497,65.18,52974,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales;f__Magnetospirillaceae;g__Magnetospirillum;s__Magnetospirillum moscoviense
GCA_001650715.1,GCA_001650715.1_Magnetospirillum_marisnigri_SP-1,Paramagnetospirillum_marisnigri_SP-1,Mars_lake_analog,freshwater,Russia: Pshada River,44.389272,38.336217,Scaffold,Illumina HiSeq,99.99,0.44,True,131,4619819,64.73,168256,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales;f__Magnetospirillaceae;g__Phaeospirillum;s__Phaeospirillum marisnigri
GCA_001746755.1,GCA_001746755.1_Magnetovibrio_blakemorei_MV-1,Magnetovibrio_blakemorei_MV-1,Europa_ocean_analog,marine,"USA: salt marsh pool, Neponset River estuary, Boston, MA",41.27,-71.04,Contig,454; Sanger; Solexa,99.99,0.15,True,91,3638804,54.29,95462,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales_A;f__Magnetovibrionaceae;g__Magnetovibrio;s__Magnetovibrio blakemorei
GCA_002105535.1,GCA_002105535.1_Magnetospirillum_sp._ME-1,Magnetospirillum_sp._ME-1,Mars_lake_analog,freshwater,"China: East Lake sediment, Wuhan city",30.55,114.36,Complete Genome,Illumina Hiseq 2500,100.0,0.11,True,1,4551873,65.63,4551873,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales;f__Magnetospirillaceae;g__Phaeospirillum;s__Phaeospirillum sp002105535
GCA_002109495.1,GCA_002109495.1_Magnetofaba_australis_IT-1,Magnetofaba_australis_IT-1,Mars_lake_analog,brackish,"Brazil: Itaipu Lagoon, Niteroi, Rio de Janeiro State",-22.9644167,-43.0459472,Contig,454,99.83,0.59,True,21,4986701,61.3,705613,d__Bacteria;p__Pseudomonadota;c__Magnetococcia;o__Magnetococcales;f__Magnetococcaceae;g__Magnetofaba;s__Magnetofaba australis
GCA_002401485.1,GCA_002401485.1_Elusimicrobia_bacterium_NORP122,Elusimicrobiota_bacterium_NORP122,Europa_ocean_analog,marine,Atlantic Ocean: North Pond,24.54642326,-46.49654979,Contig,Illumina HiSeq,77.96,1.95,True,191,2913226,54.93,19622,d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia;o__UBA1565;f__UBA1565;g__UBA1565;s__UBA1565 sp002401485
GCA_002753095.1,GCA_002753095.1_Magnetococcales_bacterium_YD0425bin7,Magnetococcales_bacterium_YD0425bin7,Mars_lake_analog,freshwater,China: Yuandadu Park,39.974732,116.368688,Scaffold,Illumina HiSeq,87.23,1.69,True,177,3583729,55.67,34600,d__Bacteria;p__Pseudomonadota;c__Magnetococcia;o__Magnetococcales;f__Magnetaquicoccaceae;g__Magnetaquicoccus;s__Magnetaquicoccus sp002753095
GCA_002753105.1,GCA_002753105.1_Deltaproteobacteria_bacterium_YD0425bin50,Deltaproteobacteria_bacterium_YD0425bin50,Mars_lake_analog,freshwater,China: Yuandadu Park,39.974732,116.368688,Scaffold,Illumina HiSeq,83.77,2.11,True,589,4970345,36.91,11398,d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__YD0425bin50;g__YD0425bin50;s__YD0425bin50 sp002753105
GCA_002753135.1,GCA_002753135.1_Magnetococcales_bacterium_WMHbinv6,Magnetococcales_bacterium_WMHbinv6,Mars_lake_analog,freshwater,China: Lake Weiming,39.993142,116.30256,Scaffold,Illumina HiSeq,98.25,1.55,True,80,3839927,55.32,85378,d__Bacteria;p__Pseudomonadota;c__Magnetococcia;o__Magnetococcales;f__Magnetaquicoccaceae;g__Magnetaquicoccus;s__Magnetaquicoccus sp002753135
GCA_002753155.1,GCA_002753155.1_Alphaproteobacteria_bacterium_WMHbin7,Alphaproteobacteria_bacterium_WMHbin7,Mars_lake_analog,freshwater,China: Lake Weiming,39.993142,116.30256,Scaffold,Illumina HiSeq,87.2,0.73,True,73,2984788,59.84,91589,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales;f__WMHbin7;g__WMHbin7;s__WMHbin7 sp002753155
GCA_002753185.1,GCA_002753185.1_Magnetococcales_bacterium_WMHbin3,Magnetococcales_bacterium_WMHbin3,Mars_lake_analog,freshwater,China: Lake Weiming,39.993142,116.30256,Scaffold,Illumina HiSeq,92.03,2.44,True,157,4601373,61.61,51212,d__Bacteria;p__Pseudomonadota;c__Magnetococcia;o__Magnetococcales;f__Magnetaquicoccaceae;g__WMHbin3;s__WMHbin3 sp002753185
GCA_002753215.1,GCA_002753215.1_Magnetococcales_bacterium_WMHbin1,Magnetococcales_bacterium_WMHbin1,Mars_lake_analog,freshwater,China: Lake Weiming,39.993142,116.30256,Scaffold,Illumina HiSeq,99.98,0.73,True,242,4380192,54.3,24882,d__Bacteria;p__Pseudomonadota;c__Magnetococcia;o__Magnetococcales;f__UBA8363;g__UBA8363;s__UBA8363 sp002753735
GCA_002753225.1,GCA_002753225.1_Deltaproteobacteria_bacterium_YD0425bin51,Deltaproteobacteria_bacterium_YD0425bin51,Mars_lake_analog,freshwater,China: Yuandadu Park,39.974732,116.368688,Contig,Illumina HiSeq,99.91,3.73,True,134,5221616,32.23,82896,d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__YD0425bin51;g__YD0425bin51;s__YD0425bin51 sp002753225
GCA_002753255.1,GCA_002753255.1_Candidatus_Lambdaproteobacteria_bacterium_PCRbin3,Candidatus_Lambdaproteobacteria_bacterium_PCRbin3,Mars_lake_analog,brackish,Australia: Punkally Creek,-36.23413,150.06798,Contig,Illumina HiSeq,88.05,5.95,True,530,5059199,41.83,14906,d__Bacteria;p__SAR324;c__SAR324;o__SAR324;f__GCA-2753255;g__GCA-2753255;s__GCA-2753255 sp002753255
GCA_002753275.1,GCA_002753275.1_Zetaproteobacteria_bacterium_PCbin4,Zetaproteobacteria_bacterium_PCbin4,Mars_lake_analog,brackish,Australia: Painkalac Creek,-38.46575,144.09288,Scaffold,Illumina HiSeq,93.95,0.08,True,55,1864480,47.58,58094,d__Bacteria;p__Pseudomonadota;c__Zetaproteobacteria;o__Mariprofundales;f__Mariprofundaceae;g__GCA-2753275;s__GCA-2753275 sp002753275
GCA_002753305.1,GCA_002753305.1_Nitrospirae_bacterium_MYbin6,Nitrospirae_bacterium_MYbin6,Mars_lake_analog,freshwater,China: Lake Miyun,40.48874,117.00714,Scaffold,Illumina HiSeq,88.53,3.12,True,218,3596763,47.78,26590,d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__Magnetobacteriaceae;g__Magnetominusculus;s__Magnetominusculus sp002753305
GCA_002753335.1,GCA_002753335.1_Nitrospirae_bacterium_MYbin3,Nitrospirae_bacterium_MYbin3,Mars_lake_analog,freshwater,China: Lake Miyun,40.48874,117.00714,Scaffold,Illumina HiSeq,99.83,0.18,True,66,2929370,44.36,86724,d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__Dissulfurispiraceae;g__MYbin3;s__MYbin3 sp002753335
GCA_002753395.1,GCA_002753395.1_Nitrospirae_bacterium_MYbinv3,Nitrospirae_bacterium_MYbinv3,Mars_lake_analog,freshwater,China: Lake Miyun,40.48874,117.00714,Scaffold,Illumina HiSeq,99.91,0.88,True,175,3713224,44.44,35197,d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__Magnetobacteriaceae;g__Magnetobacterium;s__Magnetobacterium sp002753395
GCA_002753435.1,GCA_002753435.1_Nitrospirota_bacterium_HCHbin1,Nitrospirota_bacterium_HCHbin1,Mars_lake_analog,freshwater,China: Xi'an city moat,34.25287,108.92187,Scaffold,Illumina HiSeq,100.0,0.6,True,94,3692324,45.24,55039,d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__Magnetobacteriaceae;g__Magnetominusculus;s__Magnetominusculus xianensis
GCA_002753465.1,GCA_002753465.1_Candidatus_Omnitrophica_bacterium_MBPbin6,Candidatus_Omnitrophota_bacterium_MBPbin6,Mars_lake_analog,freshwater,Australia: Mount Beauty Pondage,-36.73874,147.16443,Contig,Illumina HiSeq,75.85,2.28,True,150,2181257,49.49,24179,d__Bacteria;p__Omnitrophota;c__Koll11;o__Zapsychrales;f__Fredricksoniimonadaceae;g__Fredricksoniimonas;s__Fredricksoniimonas sp002753465
GCA_002753495.1,GCA_002753495.1_Magnetococcales_bacterium_HA3dbin3,Magnetococcales_bacterium_HA3dbin3,Mars_lake_analog,freshwater,"China: Pond, Hongan",31.173819,114.547642,Contig,Illumina HiSeq,72.19,2.73,True,316,2895658,61.72,13187,d__Bacteria;p__Pseudomonadota;c__Magnetococcia;o__Magnetococcales;f__DC0425bin3;g__HA3dbin3;s__HA3dbin3 sp002753495
GCA_002753505.1,GCA_002753505.1_Magnetococcales_bacterium_HCHbin5,Magnetococcales_bacterium_HCHbin5,Mars_lake_analog,freshwater,China: Xi'an city moat,34.25287,108.92187,Scaffold,Illumina HiSeq,99.97,3.9,True,200,4188618,56.97,38237,d__Bacteria;p__Pseudomonadota;c__Magnetococcia;o__Magnetococcales;f__Magnetaquicoccaceae;g__HCHbin5;s__HCHbin5 sp002753505
GCA_002753515.1,GCA_002753515.1_Magnetococcales_bacterium_HA3dbin1,Magnetococcales_bacterium_HA3dbin1,Mars_lake_analog,freshwater,"China: Pond, Hongan",31.173819,114.547642,Scaffold,Illumina HiSeq,99.98,1.53,True,134,4326896,53.32,54627,d__Bacteria;p__Pseudomonadota;c__Magnetococcia;o__Magnetococcales;f__UBA8363;g__UBA8363;s__UBA8363 sp002753515
GCA_002753565.1,GCA_002753565.1_Magnetococcales_bacterium_ER1bin7,Magnetococcales_bacterium_ER1bin7,Mars_lake_analog,brackish,Australia: Erskine River,-38.5338,143.97832,Scaffold,Illumina HiSeq,99.74,3.26,True,92,3866744,52.3,116043,d__Bacteria;p__Pseudomonadota;c__Magnetococcia;o__Magnetococcales;f__UBA8363;g__GCA-2753565;s__GCA-2753565 sp002753565
GCA_002753595.1,GCA_002753595.1_Magnetococcales_bacterium_HAa3bin1,Magnetococcales_bacterium_HAa3bin1,Mars_lake_analog,freshwater,"China: Rice field, Hongan",31.174289,114.543941,Scaffold,Illumina HiSeq,100.0,1.17,True,118,4347394,53.21,63208,d__Bacteria;p__Pseudomonadota;c__Magnetococcia;o__Magnetococcales;f__UBA8363;g__UBA8363;s__UBA8363 sp015228975
GCA_002753615.1,GCA_002753615.1_Magnetococcales_bacterium_DCbin2,Magnetococcales_bacterium_DCbin2,Mars_lake_analog,freshwater,China: Lake Dianchi,24.908133,102.74605,Scaffold,Illumina HiSeq,79.1,0.96,True,201,3364396,51.85,24837,d__Bacteria;p__Pseudomonadota;c__Magnetococcia;o__Magnetococcales;f__UBA8363;g__UBA8363;s__UBA8363 sp002753615
GCA_002753665.1,GCA_002753665.1_Magnetococcales_bacterium_DC0425bin3,Magnetococcales_bacterium_DC0425bin3,Mars_lake_analog,freshwater,China: Lake Dianchi,24.908133,102.74605,Contig,Illumina HiSeq,99.95,0.9,True,230,3696616,65.4,26687,d__Bacteria;p__Pseudomonadota;c__Magnetococcia;o__Magnetococcales;f__DC0425bin3;g__DC0425bin3;s__DC0425bin3 sp002753665
GCA_002753685.1,GCA_002753685.1_Nitrospirota_bacterium_DC0425bin1,Nitrospirota_bacterium_DC0425bin1,Mars_lake_analog,freshwater,China: Lake Dianchi,24.908133,102.74605,Scaffold,Illumina HiSeq,99.8,0.51,True,107,4024796,49.04,75024,d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__Magnetobacteriaceae;g__Magnetobacterium;s__Magnetobacterium sp002753685
GCA_002753725.1,GCA_002753725.1_Deltaproteobacteria_bacterium_ER2bin7,Deltaproteobacteria_bacterium_ER2bin7,Mars_lake_analog,brackish,Australia: Erskine River,-38.5359,143.97478,Scaffold,Illumina HiSeq,92.33,4.07,True,653,5965504,38.47,12662,d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Magnetomoraceae;g__Magnetomorum;s__Magnetomorum sp002753725
GCA_002753735.1,GCA_002753735.1_Magnetococcales_bacterium_DCbin4,Magnetococcales_bacterium_DCbin4,Mars_lake_analog,freshwater,China: Lake Dianchi,24.908133,102.74605,Scaffold,Illumina HiSeq,99.92,0.4,True,148,4521331,54.25,49732,d__Bacteria;p__Pseudomonadota;c__Magnetococcia;o__Magnetococcales;f__UBA8363;g__UBA8363;s__UBA8363 sp002753735
GCA_002753745.1,GCA_002753745.1_Candidatus_Omnitrophica_bacterium_Cal1bin1,Candidatus_Omnitrophota_bacterium_Cal1bin1,Mars_lake_analog,freshwater,Australia: Lake Catani,-36.73426,146.81119,Scaffold,Illumina HiSeq,92.08,0.98,True,240,2540141,49.55,15133,d__Bacteria;p__Omnitrophota;c__Koll11;o__Zapsychrales;f__Fredricksoniimonadaceae;g__GCA-2753745;s__GCA-2753745 sp002753745
GCA_003284725.1,GCA_003284725.1_Magnetospirillum_kuznetsovii_LBB-42,Paramagnetospirillum_kuznetsovii_LBB-42,Mars_lake_analog,freshwater,Russia: Moscow region,55.38,39.44,Contig,Illumina HiSeq,100.0,0.16,True,69,4405793,63.44,215319,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales;f__Magnetospirillaceae;g__Phaeospirillum;s__Phaeospirillum kuznetsovii
GCA_004217665.1,GCA_004217665.1_Candidatus_Magnetaquicoccus_inordinatus_UR-1,Candidatus_Magnetaquicoccus_inordinatus_UR-1,Mars_lake_analog,freshwater,Russia: Uda River,51.8229,107.6199,Scaffold,Illumina HiSeq,94.88,3.89,True,546,4143644,52.51,13993,d__Bacteria;p__Pseudomonadota;c__Magnetococcia;o__Magnetococcales;f__Magnetaquicoccaceae;g__Magnetaquicoccus;s__Magnetaquicoccus inordinatus
GCA_004376055.2,GCA_004376055.2_Nitrospirales_bacterium_LBB_01,Nitrospirales_bacterium_LBB_01,Mars_lake_analog,freshwater,"Russia: Moscow region, Shatura district, Lake Beloe Bordukovskoe",55.63223,39.743775,Complete Genome,Oxford Nanopore MiniION; Illumina HiSeq,99.56,0.0,True,1,3273455,41.96,3273455,d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__Magnetobacteriaceae;g__JADFXG01;s__JADFXG01 sp004376055
GCA_004564135.1,GCA_004564135.1_Terasakiella_sp._SH-1,Terasakiella_sp._SH-1,Europa_ocean_analog,marine,China:Sanya,18.2913889,109.349722,Complete Genome,PacBio RSII,100.0,0.19,True,1,3832570,47.53,3832570,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales_A;f__Terasakiellaceae;g__Terasakiella;s__Terasakiella sp004564135
GCA_008375315.1,GCA_008375315.1_Ectothiorhodospiraceae_bacterium_BW-2,Ectothiorhodospiraceae_bacterium_BW-2,Mars_lake_analog,brackish,"USA: Badwater Basin at Death Valley National Park, California",36.051,-116.631,Complete Genome,"Illumina, PacBio",100.0,0.34,True,1,4074140,52.6,4074140,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__BW-2;f__BW-2;g__BW-2;s__BW-2 sp008375315
GCA_009497875.2,GCA_009497875.2_gamma_proteobacterium_SS-5_MTB,gamma_proteobacterium_SS-5,Europa_ocean_analog,hypersaline,"USA: Salton Sea, California",33.3225996,-115.8432155,Complete Genome,GS FLX,99.96,0.6,True,1,3729461,61.65,3729461,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Chromatiales;f__Sedimenticolaceae;g__JADGBD01;s__JADGBD01 sp009497875
GCA_011089965.1,GCA_011089965.1_Magnetococcales_bacterium_DH2_bin6,Magnetococcales_bacterium_DH2_bin6,Mars_lake_analog,freshwater,"China: Wuhan, East Lake",30.555833,114.411389,Contig,Illumina HiSeq,93.81,0.97,True,80,3658807,56.76,88744,d__Bacteria;p__Pseudomonadota;c__Magnetococcia;o__Magnetococcales;f__Magnetaquicoccaceae;g__JAANAU01;s__JAANAU01 sp011089965
GCA_013019105.1,GCA_013019105.1_Fundidesulfovibrio_magnetotacticus_FSS-1,Fundidesulfovibrio_magnetotacticus_FSS-1,Mars_lake_analog,freshwater,"Japan:Saitama, Suwa Pond",35.892,139.368,Contig,iSeq 100 System,100.0,0.28,True,55,4461838,67.54,199273,d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Fundidesulfovibrio;s__Fundidesulfovibrio magnetotacticus
GCA_013349285.1,GCA_013349285.1_Deltaproteobacteria_bacterium_MAG_22204_dsfv_001,Deltaproteobacteria_bacterium_MAG_22204_dsfv_001,Europa_ocean_analog,marine,USA: California,38.03,-122.15,Contig,Illumina HiSeq,89.12,0.46,True,75,2675335,52.74,60141,d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfurivibrionaceae;g__DUZU01;s__DUZU01 sp013349285
GCA_013349295.1,GCA_013349295.1_Deltaproteobacteria_bacterium_MAG_22309_dsfv_022,Deltaproteobacteria_bacterium_MAG_22309_dsfv_022,Europa_ocean_analog,marine,USA: California,38.05,-121.934,Contig,Illumina HiSeq,88.03,1.03,True,66,2902378,55.15,78905,d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfurivibrionaceae;g__Thiovibrio;s__Thiovibrio sp013349295
GCA_013349325.1,GCA_013349325.1_Desulfuromonadales_bacterium_MAG_13126_9_058,Desulfuromonadales_bacterium_MAG_13126_9_058,Mars_lake_analog,freshwater,"Democratic Republic of the Congo: South-Kivu, Lake Kivu, Kabuno Bay",-1.64,29.05,Contig,Illumina HiSeq,99.96,0.67,True,72,3576562,52.01,83631,d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__Geobacterales;f__Pseudopelobacteraceae;g__JACRCG01;s__JACRCG01 sp013349325
GCA_013349335.1,GCA_013349335.1_Rhodospirillaceae_bacterium_MAG_22225_2-02_112,Rhodospirillaceae_bacterium_MAG_22225_2-02_112,Europa_ocean_analog,marine oxygen minimum zone (OMZ),Pacific Ocean: Eastern Tropical North Pacific,20.3333,-107.0,Contig,Illumina HiSeq,94.84,4.62,True,147,2547095,61.01,26510,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales_A;f__JADFTO01;g__GCA-2686765;s__GCA-2686765 sp013349695
GCA_013349405.1,GCA_013349405.1_Desulfuromonadales_bacterium_MAG_21600_9_004,Desulfuromonadales_bacterium_MAG_21600_9_004,Mars_lake_analog,freshwater,Canada: Ontario,49.753,-93.798,Contig,Illumina HiSeq,88.12,0.64,True,60,3430740,51.5,87025,d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__Geobacterales;f__Pseudopelobacteraceae;g__JACRCG01;s__JACRCG01 sp013349405
GCA_013349415.1,GCA_013349415.1_Desulfuromonadales_bacterium_MAG_21601_9_030,Desulfuromonadales_bacterium_MAG_21601_9_030,Mars_lake_analog,freshwater,Canada: Ontario,49.69,-93.718,Contig,Illumina HiSeq,76.19,6.28,True,232,2536371,54.11,20074,d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__Geobacterales;f__Pseudopelobacteraceae;g__JACRCG01;s__
GCA_013349435.1,GCA_013349435.1_Planctomycetota_bacterium_MAG_18080_pl_157,Planctomycetota_bacterium_MAG_18080_pl_157,Europa_ocean_analog,hypersaline,"USA: California, Salton Sea",33.4166,-115.9166,Contig,Illumina HiSeq,94.07,3.58,True,139,3144921,48.44,34208,d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Sedimentisphaerales;f__Anaerohalosphaeraceae;g__QNBT01;s__QNBT01 sp013349435
GCA_013349585.1,GCA_013349585.1_Nitrospinae_bacterium_MAG_09705_ntspn_70,Nitrospinota_bacterium_MAG_09705_ntspn_70,Europa_ocean_analog,marine,Arctic Ocean: Canada Basin,77.0991,-150.2252,Contig,Illumina HiSeq,76.68,0.62,True,120,2024644,42.63,30902,d__Bacteria;p__Nitrospinota;c__Nitrospinia;o__Nitrospinales;f__VA-1;g__UBA8687;s__UBA8687 sp013349585
GCA_013349615.1,GCA_013349615.1_Planctomycetota_bacterium_MAG_11118_pl_115,Planctomycetota_bacterium_MAG_11118_pl_115,Europa_ocean_analog,marine,Denmark:Aarhus Bay,56.103,10.458,Contig,Illumina HiSeq,85.57,0.9,True,157,3767441,48.98,33372,d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Sedimentisphaerales;f__SG8-4;g__CS2-K091;s__CS2-K091 sp013349615
GCA_013349665.1,GCA_013349665.1_Rhodospirillaceae_bacterium_MAG_06104_tlms_034,Rhodospirillaceae_bacterium_MAG_06104_tlms_034,Mars_lake_analog,bog/peatland (freshwater),"USA:Crystal Bog, Wisconsin, USA",46.0072,-89.6063,Contig,Illumina HiSeq,89.48,1.93,True,353,3186839,64.25,13005,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales;f__Magnetospirillaceae;g__Telmatospirillum;s__Telmatospirillum sp013349665
